ID,shortName,longName,altName,relWeeks,relDays,feastRank,color,feastStation,feastInfo
Q163,Weds. Lent II,Wednesday of the Second Week of Lent,,-5,3,fer2,purple,St. Cecilia,
Q164,Thurs. Lent II,Thursday of the Second Week of Lent,,-5,4,fer2,purple,St. Mary in Trastevere,
Q165,Fri. Lent II,Friday of the Second Week of Lent,,-5,5,fer2,purple,St. Vitalis,
Q166,Sat. Lent II,Saturday of the Second Week of Lent,,-5,6,fer2,purple,Ss. Marcellinus and Peter,
Q170,Lent III,Third Sunday of Lent,,-4,0,sun1,purple,St. Lawrence Without the Walls,
Q171,Mon. Lent III,Monday of the Third Week of Lent,,-4,1,fer2,purple,St. Mark,
Q172,Tues. Lent III,Tuesday of the Third Week of Lent,,-4,2,fer2,purple,St. Pudentiana,
Q173,Weds. Lent III,Wednesday of the Third Week of Lent,,-4,3,fer2,purple,St. Sixtus,
Q174,Thurs. Lent III,Thursday of the Third Week of Lent,,-4,4,fer2,purple,Ss. Cosmas and Damian,
Q175,Fri. Lent III,Friday of the Third Week of Lent,,-4,5,fer2,purple,St. Lauwrence in Lucina,
Q176,Sat. Lent III,Saturday of the Third Week of Lent,,-4,6,fer2,purple,St. Susanna,
Q180,Lætare Sunday,Fourth Sunday of Lent,,-3,0,sun1,rose,Holy Cross in Jerusalem,
Q181,Mon. Lent IV,Monday of the Fourth Week of Lent,,-3,1,fer2,purple,Four Holy Crowned Martyrs,
Q182,Tues. Lent IV,Tuesday of the Fourth Week of Lent,,-3,2,fer2,purple,St. Lawrence in Damabo,
Q183,Weds. Lent IV,Wednesday of the Fourth Week of Lent,,-3,3,fer2,purple,St. Paul Without the Walls,
Q184,Thurs. Lent IV,Thursday of the Fourth Week of Lent,,-3,4,fer2,purple,Ss. Sylvester and Mark,
Q185,Fri. Lent IV,Friday of the Fourth Week of Lent,,-3,5,fer2,purple,St. Eusebius,
Q186,Sat. Lent IV,Saturday of the Fourth Week of Lent,,-3,6,fer2,purple,St. Nicholas in Carcere,
H190,Passion Sun.,Passion Sunday,,-2,0,sun1,purple,St. Peter,
H191,Passion Mon.,Monday in Passion Week,,-2,1,fer2,purple,St. Chrysogonus,
H192,Passion Tues.,Tuesday in Passion Week,,-2,2,fer2,purple,St. Cyriacus,
H193,Passion Weds.,Wednesday in Passion Week,,-2,3,fer2,purple,St. Marcellus,
H194,Passion Thurs.,Thursday in Passion Week,,-2,4,fer2,purple,St. Apollinaris,
H195,Seven Sorrows,Feast of the Seven Sorrows of the BVM,,-2,5,dbl3,white,St. Stephen on Mount Cœlius,
H196,Passion Sat.,Saturday in Passion Week,,-2,6,fer2,purple,St. John Before the Latin Gate,
H200,Palm Sun.,Palm Sunday,,-1,0,sun1,purple,,
H201,Holy Mon.,Monday in Holy Week,,-1,1,fer1,purple,St. Praxedes,
H202,Holy Tues.,Tuesday in Holy Week,,-1,2,fer1,purple,St. Prisca,
H203,Holy Weds.,Holy Wednesday,Spy Wednesday,-1,3,fer1,purple,St. Mary Major,
H204,Holy Thurs.,Holy Thursday,Maundy Thursday,-1,4,fer1,white,St. John Lateran,
H205,,Good Friday,,-1,5,fer1,black,Holy Cross in Jerusalem,
H206,,Holy Saturday,,-1,6,fer1,purple,St. John Lateran,
P210,EASTER,Easter Sunday,Resurrection of Our Lord and Savior Jesus Christ,0,0,dbl1,gold,St. Mary Major,
P211,Easter Mon.,Monday in Easter Week,,0,1,oct1,white,St. Peter,
P212,Easter Tues.,Tuesday in Easter Week,,0,2,oct1,white,St. Peter,
P213,Easter Weds.,Wednesday in Easter Week,,0,3,oct1,white,St. Lawrence Within the Walls,
P214,Easter Thurs.,Thursday in Easter Week,,0,4,oct1,white,Twelve Holy Apostles,
P215,Easter Fri.,Friday in Easter Week,,0,5,oct1,white,St. Mary of the Martyrs,
P216,Easter Sat.,Saturday in Easter Week,,0,6,oct1,white,St. John Lateran,
P220,I Easter,Low Sunday,First Sunday after Easter,1,0,sun1,white,St. Pancras,
P230,II Easter,,,2,0,sun3,white,,
P233,St. Joseph,"Feast of Saint Joseph, Spouse of the BVM, Patron of the Universal Church",,2,3,dbl1,white,,
P234,Thurs. after St. Joseph's Day,,,2,4,oct4,white,,
P235,Fri. after St. Joseph's Day,,,2,5,oct4,white,,
P236,Sat. after St. Joseph's Day,,,2,6,oct4,white,,
P240,III Easter,,,3,0,sun3,white,,
P240,,Sunday within the Octave of St. Joseph,,3,0,oct4,white,,
P241,Mon. after St. Joseph's Day,,,3,1,oct4,white,,
P242,Tues. after St. Joseph's Day,,,3,2,oct4,white,,
P243,Weds. after St. Joseph's Day,,,3,3,ocd4,white,,
P250,IV Easter,,,4,0,sun3,white,,
P260,V Easter,,,5,0,sun3,white,,
P261,Rogation Mon.,,,5,1,vgl3,purple,St. Mary Major,
P262,Rogation Tues.,,,5,2,vgl3,purple,St. John Lateran,
P263,Ascension Eve,,,5,3,vgl3,white,St. Peter,
P264,Ascension,,,5,4,dbl1,white,St. Peter,
P265,Fri. post Ascension,,,5,5,oct3,white,,
P266,Sat. post Ascension,,,5,6,oct3,white,,
P270,VI Easter,Ascension Sunday,,6,0,sun3,white,St. Mary of the Martyrs,
P271,Mon. post Ascension,,,6,1,oct3,white,,
P272,Tues. post Ascension,,,6,2,oct3,white,,
P273,Weds. post Ascension,,,6,3,oct3,white,,
P274,Ascension Octave,,,6,4,ocd3,white,,
P276,,Pentecost Eve,Whitsun Eve,6,6,vgl1,purple,St. John Lateran,
Y280,,Pentecost,Whitsunday,7,0,dbl1,red,St. Peter,
Y281,,,Whit-Monday,7,1,oct1,red,St. Peter's Chains,
Y282,,,Whit-Tuesday,7,2,oct1,red,St. Anastasia,
Y283,Ember Weds.,,Whit-Wednesday,7,3,embm,red,St. Mary Major,
Y284,,,Whit-Thursday,7,4,oct1,red,St. Lawrence Without the Walls,
Y285,Ember Fri.,,Whit-Friday,7,5,embm,red,Twelve Holy Apostles,
Y286,Ember Sat.,,Whit-Saturday,7,6,embm,red,St. Peter,
Y290,I Pentecost,Trinity Sunday,,8,0,dbl1,white,,
Y300,II Pentecost,Second Sunday After Pentecost,,9,0,sun3,green,,
Y304,,Corpus Christi,,9,4,dbl1,gold,,
Y305,Fri. post Corpus Christi,,,9,5,oct2,white,,
Y306,Sat. post Corpus Christi,,,9,6,oct2,white,,
Y310,III Pentecost,,,10,0,sun3,white,,
Y310,,Sunday within the Octave of Corpus Christi,,10,0,oct2,white,,
Y311,Mon. post Corpus Christi,,,10,1,oct2,white,,
Y312,Tues. post Corpus Christi,,,10,2,oct2,white,,
Y313,Weds. post Corpus Christi,,,10,3,oct2,white,,
Y314,Corpus Christi Octave,,,10,4,ocd2,white,,
Y315,,Sacred Heart,,10,5,dbl1,gold,,
Y316,Sat. post Sacred Heart,,,10,6,oct3,white,,
Y320,IV Pentecost,,,11,0,sun3,white,,
Y320,,Sunday within the Octave of the Sacred Heart,,11,0,oct3,white,,
Y321,Mon. post Sacred Heart,,,11,1,oct3,white,,
Y322,Tues. post Sacred Heart,,,11,2,oct3,white,,
Y323,Weds. post Sacred Heart,,,11,3,oct3,white,,
Y324,Thurs. post Sacred Heart,,,11,4,oct3,white,,
Y325,Sacred Heart Octave,,,11,5,ocd3,white,,
Y330,V Pentecost,,,12,0,sun3,green,,
Y340,VI Pentecost,,,13,0,sun3,green,,
Y350,VII Pentecost,,,14,0,sun3,green,,
Y360,VIII Pentecost,,,15,0,sun3,green,,
Y370,IX Pentecost,,,16,0,sun3,green,,
Y380,X Pentecost,,,17,0,sun3,green,,
Y390,XI Pentecost,,,18,0,sun3,green,,
Y400,XII Pentecost,,,19,0,sun3,green,,
Y410,XIII Pentecost,,,20,0,sun3,green,,
Y420,XIV Pentecost,,,21,0,sun3,green,,
Y430,XV Pentecost,,,22,0,sun3,green,,
Y440,XVI Pentecost,,,23,0,sun3,green,,
Y450,XVII Pentecost,,,24,0,sun3,green,,
Y460,XVIII Pentecost, ,,25,0,sun3,green,,
Y470,XIX Pentecost,,,26,0,sun3,green,,
Y480,XX Pentecost,,,27,0,sun3,green,,
Y490,XXI Pentecost,,,28,0,sun3,green,,
Y500,XXII Pentecost,,,29,0,sun3,green,,
Y510,XXIII Pentecost,,,30,0,sun3,green,,
Y520,XXIV Pentecost,,,31,0,sun3,green,,
Y530,XXV Pentecost,,,32,0,sun3,green,,
Y540,XXVI Pentecost,,,33,0,sun3,green,,
Y550,XXVII Pentecost,,,34,0,sun3,green,,
X560,Ultima Pentecost,Last Sunday after Pentecost,,35,0,sun3,green,,
